2023-05-31T18:54:29.577+0530 [INFO]  Main.Core: Initializing IPFS
2023-05-31T18:54:32.947+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2023-05-31T18:54:33.011+0530 [INFO]  Main.Core: Initializing daemon...
2023-05-31T18:54:33.012+0530 [INFO]  Main.Core: Kubo version: 0.17.0
2023-05-31T18:54:33.012+0530 [INFO]  Main.Core: Repo version: 12
2023-05-31T18:54:33.012+0530 [INFO]  Main.Core: System version: amd64/windows
2023-05-31T18:54:33.012+0530 [INFO]  Main.Core: Golang version: go1.19.1
2023-05-31T18:54:43.095+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2023-05-31T18:54:43.097+0530 [INFO]  Main.Core: Swarm key fingerprint: a5ef5059eede91e09c9994d112fd1e05
2023-05-31T18:54:43.097+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4007
2023-05-31T18:54:43.097+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.115.8/tcp/4007
2023-05-31T18:54:43.098+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.179.254/tcp/4007
2023-05-31T18:54:43.101+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.230.155/tcp/4007
2023-05-31T18:54:43.102+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.83.128/tcp/4007
2023-05-31T18:54:43.102+0530 [INFO]  Main.Core: Swarm listening on /ip4/192.168.1.20/tcp/4007
2023-05-31T18:54:43.102+0530 [INFO]  Main.Core: Swarm listening on /ip6/::1/tcp/4007
2023-05-31T18:54:43.102+0530 [INFO]  Main.Core: Swarm listening on /p2p-circuit
2023-05-31T18:54:43.103+0530 [INFO]  Main.Core: Swarm announcing /ip4/10.90.4.2/tcp/12172
2023-05-31T18:54:43.103+0530 [INFO]  Main.Core: Swarm announcing /ip4/127.0.0.1/tcp/4007
2023-05-31T18:54:43.103+0530 [INFO]  Main.Core: Swarm announcing /ip4/192.168.1.20/tcp/4007
2023-05-31T18:54:43.103+0530 [INFO]  Main.Core: Swarm announcing /ip6/::1/tcp/4007
2023-05-31T18:54:43.103+0530 [INFO]  Main.Core: API server listening on /ip4/127.0.0.1/tcp/5007
2023-05-31T18:54:43.103+0530 [INFO]  Main.Core: WebUI: http://127.0.0.1:5007/webui
2023-05-31T18:54:43.103+0530 [INFO]  Main.Core: Gateway (readonly) server listening on /ip4/127.0.0.1/tcp/8086
2023-05-31T18:54:43.104+0530 [INFO]  Main.Core: IPFS Daemon is ready
2023-05-31T18:54:45.213+0530 [INFO]  Main.Core: IPFS daemon requested to close
2023-05-31T18:54:45.213+0530 [INFO]  Main.Core: IPFS daemon finished
2023-05-31T18:54:45.229+0530 [INFO]  Main.Core: IPFS Initialized
2023-05-31T18:54:45.230+0530 [INFO]  Main.Core: Waiting for IPFS daemon to start
2023-05-31T18:54:45.329+0530 [INFO]  Main.Core: Initializing daemon...
2023-05-31T18:54:45.330+0530 [INFO]  Main.Core: Kubo version: 0.17.0
2023-05-31T18:54:45.330+0530 [INFO]  Main.Core: Repo version: 12
2023-05-31T18:54:45.330+0530 [INFO]  Main.Core: System version: amd64/windows
2023-05-31T18:54:45.330+0530 [INFO]  Main.Core: Golang version: go1.19.1
2023-05-31T18:54:46.721+0530 [INFO]  Main.Core: Swarm is limited to private network of peers with the swarm key
2023-05-31T18:54:46.722+0530 [INFO]  Main.Core: Swarm key fingerprint: a5ef5059eede91e09c9994d112fd1e05
2023-05-31T18:54:46.722+0530 [INFO]  Main.Core: Swarm listening on /ip4/127.0.0.1/tcp/4007
2023-05-31T18:54:46.723+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.115.8/tcp/4007
2023-05-31T18:54:46.723+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.179.254/tcp/4007
2023-05-31T18:54:46.723+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.230.155/tcp/4007
2023-05-31T18:54:46.723+0530 [INFO]  Main.Core: Swarm listening on /ip4/169.254.83.128/tcp/4007
2023-05-31T18:54:46.723+0530 [INFO]  Main.Core: Swarm listening on /ip4/192.168.1.20/tcp/4007
2023-05-31T18:54:46.724+0530 [INFO]  Main.Core: Swarm listening on /ip6/::1/tcp/4007
2023-05-31T18:54:46.724+0530 [INFO]  Main.Core: Swarm listening on /p2p-circuit
2023-05-31T18:54:46.726+0530 [INFO]  Main.Core: Swarm announcing /ip4/127.0.0.1/tcp/4007
2023-05-31T18:54:46.726+0530 [INFO]  Main.Core: Swarm announcing /ip4/192.168.1.20/tcp/4007
2023-05-31T18:54:46.727+0530 [INFO]  Main.Core: Swarm announcing /ip6/::1/tcp/4007
2023-05-31T18:54:46.727+0530 [INFO]  Main.Core: API server listening on /ip4/127.0.0.1/tcp/5007
2023-05-31T18:54:46.727+0530 [INFO]  Main.Core: WebUI: http://127.0.0.1:5007/webui
